"degree","normalised.degree","nestedrank","betweenness","weighted.betweenness","closeness","weighted.closeness","evcent","Taxon","Endemicity","site","max.degree","missing.degree"
1,0.00632911392405063,0.768518518518518,0,0,0.0109220307930804,0.00225809865053086,0.0772105542786091,"Nesosydne pilo","Endem","Hal",158,157
11,0.069620253164557,0.185185185185185,0,0,0.00826198780960434,0.00456511274285329,0.0649293220745531,"Nesosydne cyrtandrae","Endem","Hal",158,147
11,0.069620253164557,0.194444444444444,0,0,0.00826198780960434,0.00456511274285329,0.0649293220745532,"Nesosydne longipes","Endem","Hal",158,147
11,0.069620253164557,0.203703703703704,0,0,0.00826198780960434,0.00456511274285329,0.0649293220745531,"Nesosydne sulcata","Endem","Hal",158,147
7,0.0443037974683544,0.314814814814815,0.00328407366222492,0,0.0102878483599338,0.0045337798460556,0.129283921536138,"Nesothoe fletus","Cosmo","Hal",158,151
7,0.0443037974683544,0.324074074074074,0.00593567889486257,0,0.0109220307930804,0.00472515005977061,0.164055694533971,"Nysius blackburni","Cosmo","Hal",158,151
25,0.158227848101266,0.0277777777777778,0.119577735607051,0.143400703114828,0.0153965401825036,0.00535941079054592,0.919323690274339,"Nysius communis","Cosmo","Hal",158,133
19,0.120253164556962,0.0462962962962963,0.00448950702697363,0,0.0112038896522566,0.00514909487040677,0.315505614165082,"Nysius nemorivagus","Cosmo","Hal",158,139
31,0.19620253164557,0.00925925925925926,0.0564485058046999,0.0989395408052545,0.0141986400310045,0.00536975003777336,1,"Nysius delectus","Cosmo","Hal",158,127
2,0.0126582278481013,0.509259259259259,0,0,0.00813867455871472,0.00309966488532931,0.0169163941052061,"Nysius longicollis","Cosmo","Hal",158,156
19,0.120253164556962,0.0555555555555556,0.00906499555281648,0.0131653187887907,0.0108867984356833,0.00497360317777245,0.292355478889036,"Nysius terrestris","Cosmo","Hal",158,139
36,0.227848101265823,0,0.137223503794487,0.184953921384239,0.0152908431103125,0.0054688074470403,0.64320389063702,"Nysius kinbergi","Cosmo","Hal",158,122
12,0.0759493670886076,0.12962962962963,0.0357631181693065,0.0204626669174346,0.0113095867244477,0.00481094277646212,0.223903996499403,"Nysius coenosulus","Cosmo","Hal",158,146
14,0.0886075949367089,0.0833333333333333,0.0435686267677129,0.0822268196351326,0.0134587605256668,0.0052121403389547,0.294355814953414,"Oceanides montivagus","Endem","Hal",158,144
12,0.0759493670886076,0.138888888888889,0.0254214407275632,0.029351427207361,0.011556213226227,0.00490856693494941,0.638115569817225,"Oceanides nimbatus","Cosmo","Hal",158,146
1,0.00632911392405063,0.777777777777778,0,0,0.0112743543670507,0.00245486199351728,0.0305713144106371,"Oceanides pteridicola","Cosmo","Hal",158,157
3,0.0189873417721519,0.435185185185185,0.000185946614518043,0,0.00993552478596343,0.00374105467779487,0.0419531633300618,"Oliarus filicicola","Cosmo","Hal",158,155
1,0.00632911392405063,0.787037037037037,0,0,0.0112743543670507,0.00245486199351728,0.0305713144106371,"Oliarus pele","Cosmo","Hal",158,157
12,0.0759493670886076,0.148148148148148,0.00458738003756011,0,0.00991790860726491,0.00458665685818828,0.0768408658297396,"Oliarus haleakalae","Endem","Hal",158,146
9,0.0569620253164557,0.231481481481481,0.0114728824541782,0.00737257852172278,0.0118028397280062,0.00477587235902213,0.148830000028529,"Oliarus halehaku","Endem","Hal",158,149
1,0.00632911392405063,0.796296296296296,0,0,0.0100412218581545,0.00237255956342603,0.0150837061588391,"Opuna sharpianus","Cosmo","Hal",158,157
1,0.00632911392405063,0.805555555555556,0,0,0.0100412218581545,0.00237255956342603,0.0150837061588391,"Opuna sharpianus luteus","Cosmo","Hal",158,157
3,0.0189873417721519,0.444444444444444,0,0,0.0100764542155516,0.00376453825280557,0.0445813004071064,"Orthotylus clermontioides","Endem","Hal",158,155
1,0.00632911392405063,0.814814814814815,0,0,0.0109220307930804,0.00225809865053086,0.077210554278609,"Orthotylus coprosmae","Endem","Hal",158,157
1,0.00632911392405063,0.824074074074074,0,0,0,NA,5.11999380611837e-17,"Orthotylus hedyotiphila","Endem","Hal",158,157
1,0.00632911392405063,0.833333333333333,0,0,0,NA,5.0657790151654e-17,"Orthotylus hedyotioides","Endem","Hal",158,157
1,0.00632911392405063,0.842592592592593,0,0,0,NA,5.00765823985388e-17,"Orthotylus perrottetiopsis","Endem","Hal",158,157
1,0.00632911392405063,0.851851851851852,0,0,0.00743402741077406,0.00210207196688114,0.00551136705606876,"Orthotylus pisoniopsis","Endem","Hal",158,157
1,0.00632911392405063,0.861111111111111,0,0,0.0073811788746785,0.00175630559661016,0.000201568018355512,"Orthotylus kopiko","Endem","Hal",158,157
1,0.00632911392405063,0.87037037037037,0,0,0.0073811788746785,0.00175630559661016,0.000201568018355513,"Orthotylus neopsychotrioides","Endem","Hal",158,157
1,0.00632911392405063,0.87962962962963,0,0,0.00827960398830286,0.00219788645820182,0.00743127550624263,"Orthotylus Urera sp.phila","Endem","Hal",158,157
1,0.00632911392405063,0.888888888888889,0,0,0,NA,5.42394082439705e-17,"Orthotylus xylosmoides","Endem","Hal",158,157
1,0.00632911392405063,0.898148148148148,0,0,0.0112743543670507,0.00245486199351728,0.0305713144106371,"Sarona adonias","Cosmo","Hal",158,157
1,0.00632911392405063,0.907407407407407,0,0,0.00988267624986788,0.00230254741095362,0.0215110130868895,"Sarona kanaka","Endem","Hal",158,157
12,0.0759493670886076,0.157407407407407,0,0,0.000211394144382201,NA,3.24693899187568e-16,"Sarona dakine","Endem","Hal",158,146
6,0.0379746835443038,0.342592592592593,0,0,0.00961843356939013,0.0045337798460556,0.120639321610634,"Sarona kane","Endem","Hal",158,152
2,0.0126582278481013,0.518518518518518,0,0,0.0097945953563753,0.00333214625345792,0.0179934166570437,"Sarona maui","Endem","Hal",158,156
2,0.0126582278481013,0.527777777777778,0,0,0.0097945953563753,0.00333214625345792,0.0179934166570437,"Sarona pusilla","Endem","Hal",158,156
4,0.0253164556962025,0.416666666666667,0,0,0.0073811788746785,0.00271873250676525,0.000796035423729699,"Sephora criniger","Endem","Hal",158,154
5,0.0316455696202532,0.388888888888889,0.00125088645496809,0,0.0101997674664412,0.00399741457850316,0.0527760870287596,"Koanoa hawaiiensis","Cosmo","Hal",158,153
12,0.0759493670886076,0.166666666666667,0.01590194683077,0.0211889295583108,0.0122960927315647,0.00497635256942844,0.665773324350078,"Lasiochilus denigratus","Cosmo","Hal",158,146
