Order,Family,subfamily,Tribe,Genus and species,Genus,Species,Author,Status ,Kau ,Kil,Ola,Lau,Koh,Hal,KoK,Adult Body Size,Trophic Information Simplified,Trophic Information,Host identity (Genus species),Other host information ,Intermediary (eg fungus)if relevant,"Height (Ground, middle or canopy)","Microhabitat (under bark, under leaves, in leaf axils, etc)"
HOMOPTERA,Delphacidae,,,Syndelphax disonymus,Syndelphax,disonymus,"Kirkaldy, 1907",adv,prob not,prob not,prob not,prob not,prob not,no,prob not,"males 1.8-2 mm, females 2.0-2.3 mm",herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links","Setaria sp, Cynodon dactylon, Setaria gracilis ",,na,lower,on leaves or stems
HOMOPTERA,Delphacidae,,,Tarophagus colocasiae,Tarophagus,colocasiae,"Matsumura, 1932",adv,prob not,prob not,prob not,prob not,prob not,prob not,prob not,,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",Colocasia sp.,taro,na,mille,on leaves or stems
HETEROPTERA,Miridae,,,Taylorilygus pallidulus,Taylorilygus,pallidulus,"Blanchard, 1852",adv,prob not,prob not,prob not,prob not,prob not,prob not,prob not,?,herbivore,family is mostly herbivorous,n.d.,polyphagous,na,unknown,on leaves or stems
HETEROPTERA,Lygaeidae,,,Tempyra biguttula,Tempyra,biguttula,"Stal, 1874",adv,no,no,no,no,no,no,prob not,,herbivore,"family is mostly seed feeding, some sap feeding, a couple known predators (such as the wekiu bug, which is from Hawaii and not in our sites)",Canavalia sp.,,na,"lower, middle",
HOMOPTERA,Delphacidae,,,Toya dryope,Toya,dryope,"Kirkaldy, 1907",adv,no,no,no,no,no,no,no,,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",n.d.,,na,,on leaves or stems
HOMOPTERA,Membracidae,,,Tricentrus albomaculatus,Tricentrus,albomaculatus,"Distant, 1908",adv,prob not,prob not,prob not,prob not,prob not,no,prob not,,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links","Cajanus indicus, Canangium odoratum, Cassia bicapsularis, Eucalyptus sp., Sesbania sp.","Cajanus indicus (pigeon pea), Canangium odoratum (ylang-ylang), Cassia bicapsularis, Eucalyptus, Sesbania",na,middle,on leaves or stems
HETEROPTERA,Miridae,,,Trigonotylus tenuis,Trigonotylus,tenuis,"Reuter, 1895",adv,no,no,no,no,no,no,no,,herbivore,family is mostly herbivorous,n.d.,,na,,
HOMOPTERA,Membracidae,,,Vanduzeea segmentata,Vanduzeea,segmentata,"Fowler, 1895",adv,prob not,prob not,prob not,prob not,prob not,prob not,prob not,,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links","Abutilon menziesii, Caesalpinia kavaiensis, Gossypium tomentosum",,na,middle,on leaves or stems
HOMOPTERA,Delphacidae,,,Aloha swezeyi,Aloha,swezeyi,"Muir, 1916",end,poss,poss,poss,poss,poss,no,poss,male 2mm,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links","Bidens sp., Cheirodendron sp., Lipochaeta sp., Cythrum sp., Campylotheca sp.",,na,middle,on leaves or stems
HOMOPTERA,Delphacidae,,,Aloha ipomoeae,Aloha,ipomoeae,"Kirkaldy, 1904",end,poss,poss,poss,poss,poss,poss,poss,,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links","Ipomoea pes-caprae, Ipomoea batatas,Ipomoea bonanox, Ipomoea tuberculata, Ipomoea insularis, Ipomoea sp.",,na,lower,on leaves or stems
HOMOPTERA,Delphacidae,,,Aloha myoporicola,Aloha,myoporicola,"Kirkaldy, 1910",end,poss,Kil,poss,poss,poss,no,no,4mm,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links","Myoporum sandwicense, Pelea volcanicola",,na,middle,on leaves or stems
HOMOPTERA,Delphacidae,,,Aloha artemisiae,Aloha,artemisiae,"Kirkaldy, 1910",end,no,no,no,no,no,no,no,"male 2mm, female 2.25mm",herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",Artemisia sp.,,na,middle,on leaves or stems
